Sentence ID,File Name,Token ID,Form,Misc,Lemma,UPOS,XPOS,Features,Head,Deprel,Deps
Dk5-B-01_sentence_128,Dk5-B-01_mptf.csv,1,wišādag,open,wišādag,ADJ,_,_,3.0,advcl,_
Dk5-B-01_sentence_131,Dk5-B-01_mptf.csv,3,ēwēn,custom,ēwēn,ADJ,_,_,10.0,advcl,_
Dk5-B-01_sentence_131,Dk5-B-01_mptf.csv,12,passazag,fitting,passazag,ADJ,_,_,10.0,advcl,_
Dk5-B-01_sentence_131,Dk5-B-01_mptf.csv,15,passazag,fitting,passazag,ADJ,_,_,10.0,advcl,_
Dk5-B-01_sentence_133,Dk5-B-01_mptf.csv,7,anašnāsag,unrecognisable,an-ašnāsag,ADJ,_,_,9.0,xcomp,_
Dk5-B-01_sentence_134,Dk5-B-01_mptf.csv,9,pāk,clean,pāk,ADJ,_,_,16.0,xcomp,_
Dk5-B-01_sentence_135,Dk5-B-01_mptf.csv,16,ābādān,thriving,ābādān,ADJ,_,_,17.0,advcl,13.0:acl
Dk5-B-01_sentence_140,Dk5-B-01_mptf.csv,14,pāduxšāy,authorized,pādixšāy,ADJ,_,_,_,root,_
Dk5-B-01_sentence_146,Dk5-B-01_mptf.csv,12,pāduxšāy,authorized,pādixšāy,ADJ,_,_,_,root,_
Dk5-B-01_sentence_147,Dk5-B-01_mptf.csv,21,pāduxšāy,authorized,pādixšāy,ADJ,_,_,_,root,_
Dk5-B-01_sentence_148,Dk5-B-01_mptf.csv,9,nērād,non-generous,nē-rād,ADJ,_,_,10.0,xcomp,_
Dk5-B-01_sentence_150,Dk5-B-01_mptf.csv,2,čimīg,logical,čimīg,ADJ,_,_,_,root,_
Dk5-B-01_sentence_153,Dk5-B-01_mptf.csv,6,bowandag,complete,bowandag,ADJ,_,_,_,root,_
Dk5-B-01_sentence_156,Dk5-B-01_mptf.csv,7,anigerīd,disregardful,a-nigerīd,ADJ,_,_,13.0,advcl,_
Dk5-B-01_sentence_161,Dk5-B-01_mptf.csv,6,paydāg,obvious,paydāg,ADJ,_,_,_,root,_
Dk5-B-01_sentence_163,Dk5-B-01_mptf.csv,8,padīruftār,accepting,padīriftār,ADJ,_,_,_,root,_
Dk5-B-01_sentence_163,Dk5-B-01_mptf.csv,16,ǰuddādestān,of a different opinion,ǰud-dādestān,ADJ,_,_,8.0,acl:relcl,_
Dk5-B-01_sentence_167,Dk5-B-01_mptf.csv,13,niyābag,fitting,niyābag,ADJ,_,_,_,root,_
Dk5-B-01_sentence_169,Dk5-B-01_mptf.csv,4,niyābag,fitting,niyābag,ADJ,_,_,_,root,_
Dk5-B-01_sentence_170,Dk5-B-01_mptf.csv,6,nāmčišttar,dedicated,nāmčišt,ADJ,Degree=Cmp,Degree=Cmp,3.0,nmod,_
Dk5-B-01_sentence_174,Dk5-B-01_mptf.csv,8,paydāg,evident,paydāg,ADJ,_,_,_,root,_
Dk5-B-01_sentence_184,Dk5-B-01_mptf.csv,26,bowandag,complete,bowandag,ADJ,_,_,27.0,xcomp,_
Dk5-B-01_sentence_187,Dk5-B-01_mptf.csv,8,nēk,good,nēk,ADJ,_,_,3.0,acl:relcl,_
Dk5-B-01_sentence_188,Dk5-B-01_mptf.csv,7,paydāg,visible,paydāg,ADJ,_,_,14.0,advcl,_
Dk5-B-01_sentence_191,Dk5-B-01_mptf.csv,12,hāwand,similar,hāwand,ADJ,_,_,13.0,xcomp,_
Dk5-B-01_sentence_200,Dk5-B-01_mptf.csv,14,anēwēn,improper,an-ēwēn,ADJ,_,_,_,root,_
Dk5-B-01_sentence_202,Dk5-B-01_mptf.csv,2,pāk,clean,pāk,ADJ,_,_,9.0,advcl,1.0:acl
Dk5-B-01_sentence_207,Dk5-B-01_mptf.csv,19,pāk,clean,pāk,ADJ,_,_,24.0,advcl,_
Dk5-B-01_sentence_208,Dk5-B-01_mptf.csv,10,ǰomā,connected,ǰomā,ADJ,_,_,36.0,advcl,_
Dk5-B-01_sentence_209,Dk5-B-01_mptf.csv,9,niyābag,fitting,niyābag,ADJ,_,_,_,root,_
Dk5-B-01_sentence_211,Dk5-B-01_mptf.csv,14,bowandag,to the fullest,bowandag,ADJ,_,_,10.0,acl:relcl,_
Dk5-B-01_sentence_216,Dk5-B-01_mptf.csv,10,niyāyišnīg,laudatory,niyāyišnīg,ADJ,_,_,5.0,advcl,_
Dk5-B-01_sentence_218,Dk5-B-01_mptf.csv,3,anīrmad,without profit,a-nīrmad,ADJ,_,_,5.0,xcomp,_
Dk5-B-01_sentence_219,Dk5-B-01_mptf.csv,10,ǰuttar,different,ǰuttar,ADJ,Degree=Cmp,Degree=Cmp,_,root,_
Dk5-B-01_sentence_221,Dk5-B-01_mptf.csv,5,paydāg,clear,paydāg,ADJ,_,_,7.0,xcomp,_
Dk5-B-01_sentence_221,Dk5-B-01_mptf.csv,7,paydāg,clear,paydāg,ADJ,_,_,_,root,_
Dk5-B-01_sentence_222,Dk5-B-01_mptf.csv,26,abd,wonderful,abd,ADJ,_,_,30.0,nmod,_
Dk5-B-01_sentence_224,Dk5-B-01_mptf.csv,5,anhambadīg,uncontested,an-hambadīg,ADJ,_,_,8.0,xcomp,_
Dk5-B-01_sentence_225,Dk5-B-01_mptf.csv,8,ǰuddādestān,of differing opinion,ǰud-dādestān,ADJ,_,_,4.0,acl:relcl,_
Dk5-B-01_sentence_228,Dk5-B-01_mptf.csv,12,abzōnīg,increasing,abzōnīg,ADJ,_,_,13.0,xcomp,_
Dk5-B-01_sentence_229,Dk5-B-01_mptf.csv,3,dōstagčašm,favourable,dōstag-čašm,ADJ,_,_,_,root,_
Dk5-B-01_sentence_230,Dk5-B-01_mptf.csv,19,paydāg,visible,paydāg,ADJ,_,_,15.0,ccomp,_
Dk5-B-01_sentence_247,Dk5-B-01_mptf.csv,4,arzānīgān,worthy person,arzānīg,ADJ,Animacy=Hum|Number=Plur,Animacy=Hum|Number=Plur,6.0,xcomp,1.0:acl
Dk5-B-01_sentence_252,Dk5-B-01_mptf.csv,7,rēmantar,filthy,rēman,ADJ,Degree=Cmp,Degree=Cmp,_,root,_
Dk5-B-01_sentence_252,Dk5-B-01_mptf.csv,10,zīwandag,alive,zīndag,ADJ,_,_,7.0,xcomp,_
Dk5-B-01_sentence_254,Dk5-B-01_mptf.csv,12,rēman,filthy,rēman,ADJ,_,_,_,root,_
Dk5-B-01_sentence_261,Dk5-B-01_mptf.csv,14,guft,said,guft,ADJ,Subcat=Tran|Tense=Past|VerbForm=Part,Subcat=Tran|Tense=Past|VerbForm=Part,15.0,xcomp,5.0:acl
Dk5-B-01_sentence_265,Dk5-B-01_mptf.csv,18,paydāgtar,visible,paydāg,ADJ,Degree=Cmp,Degree=Cmp,_,root,_
Dk5-B-01_sentence_269,Dk5-B-01_mptf.csv,26,ačārīg,compelling,a-čārīg,ADJ,_,_,16.0,ccomp,_
Dk5-B-01_sentence_276,Dk5-B-01_mptf.csv,5,abēčim,without motivation,abē-čim,ADJ,_,_,_,root,_
Dk5-B-01_sentence_277,Dk5-B-01_mptf.csv,4,pahikafišnīg,attacking,pahikafišnīg,ADJ,_,_,5.0,advcl,_
Dk5-B-01_sentence_281,Dk5-B-01_mptf.csv,3,mānāg,resembling,mānāg,ADJ,_,_,5.0,advcl,4.0:acl
Dk5-B-01_sentence_288,Dk5-B-01_mptf.csv,1,paydāg,clear,paydāg,ADJ,_,_,_,root,_
Dk5-B-01_sentence_291,Dk5-B-01_mptf.csv,7,ačārīg,inevitable,a-čārīg,ADJ,_,_,_,root,_
Dk5-B-01_sentence_294,Dk5-B-01_mptf.csv,3,homānāg,similar,homānāg,ADJ,_,_,_,root,_
Dk5-B-01_sentence_297,Dk5-B-01_mptf.csv,5,čimīg,reasonable,čimīg,ADJ,_,_,_,root,_
Dk5-B-01_sentence_298,Dk5-B-01_mptf.csv,22,paydāg,visible,paydāg,ADJ,_,_,_,root,_
Dk5-B-01_sentence_299,Dk5-B-01_mptf.csv,17,widēmāsīg,miraculous,widēmāsīg,ADJ,_,_,6.0,advcl,_
Dk5-B-01_sentence_300,Dk5-B-01_mptf.csv,12,rawāgtar,current,rawāg,ADJ,Degree=Cmp,Degree=Cmp,2.0,acl,_
Dk5-B-01_sentence_306,Dk5-B-01_mptf.csv,17,uzwānīg,language-wise,uzwānīg,ADJ,_,_,18.0,advcl,_
Dk5-B-01_sentence_306,Dk5-B-01_mptf.csv,24,purrbōzišn,salvific,purr-bōzišn,ADJ,_,_,_,nsubj,_
Dk5-B-01_sentence_306,Dk5-B-01_mptf.csv,25,paydāg,obvious,paydāg,ADJ,_,_,_,root,_
Dk5-B-01_sentence_308,Dk5-B-01_mptf.csv,3,frahist,most,frahist,ADJ,Degree=Sup,Degree=Sup,7.0,nsubj,_
Dk5-B-01_sentence_308,Dk5-B-01_mptf.csv,12,paydāg,obvious,paydāg,ADJ,_,_,7.0,advcl,_
Dk5-B-01_sentence_312,Dk5-B-01_mptf.csv,14,mādagwartar,authentic,mādagwartar,ADJ,Degree=Cmp,Degree=Cmp,15.0,xcomp,8.0:acl
Dk5-B-01_sentence_312,Dk5-B-01_mptf.csv,16,čimīg,reasonable,čimīg,ADJ,_,_,_,root,_
Dk5-B-01_sentence_315,Dk5-B-01_mptf.csv,4,rawāg,current,rawāg,ADJ,_,_,_,root,_
Dk5-B-01_sentence_316,Dk5-B-01_mptf.csv,8,rawāg,distributed,rawāg,ADJ,_,_,9.0,xcomp,6.0:acl
Dk5-B-01_sentence_317,Dk5-B-01_mptf.csv,9,kāhišnīg,diminishing,kāhišnīg,ADJ,_,_,10.0,xcomp,8.0:acl
Dk5-B-01_sentence_326,Dk5-B-01_mptf.csv,32,xwastūg,confessing,xwastūg,ADJ,_,_,18.0,acl:relcl,_
Dk5-B-01_sentence_327,Dk5-B-01_mptf.csv,9,gēhānīg,wordly,gēhānīg,ADJ,_,_,10.0,nmod,_
Dk5-B-01_sentence_327,Dk5-B-01_mptf.csv,13,hangirdīg,concise,hangirdīg,ADJ,_,_,_,root,_
